"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","instrument_id","snr","magsys","origin","altdata","ra","dec","ra_unc","dec_unc","created_at","streams","owner"
198515217,58813.570263,,,19.27,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792034,mrchu39,
198515218,58813.575911,,,19.24,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792123,mrchu39,
198515219,58813.578706,,,19.24,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792150,mrchu39,
198515220,58813.59187,,,19.38,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792172,mrchu39,
198515221,58815.563307,,,19.35,atlasc,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792192,mrchu39,
198515222,58815.568703,,,18.96,atlasc,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792212,mrchu39,
198515223,58815.571536,,,18.98,atlasc,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792231,mrchu39,
198515224,58815.581753,,,19.05,atlasc,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792257,mrchu39,
198515225,58821.542994,,,19.34,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792276,mrchu39,
198515226,58821.548393,,,19.44,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792293,mrchu39,
198515227,58821.55164,,,19.51,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792312,mrchu39,
198515228,58821.562862,,,19.52,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792331,mrchu39,
198515229,58822.637732,,,17.18,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792350,mrchu39,
198515230,58822.64144,,,17.4,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792367,mrchu39,
198515231,58822.668243,,,16.42,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792385,mrchu39,
198515232,58825.589672,,,19.39,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792400,mrchu39,
198515233,58825.592662,,,19.61,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792418,mrchu39,
198515234,58825.600265,,,19.61,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792437,mrchu39,
198515235,58825.619555,,,19.59,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792453,mrchu39,
198515236,58827.599114,,,19,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792469,mrchu39,
198515237,58827.602422,,,19.03,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792484,mrchu39,
198515238,58827.612372,,,19.13,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792499,mrchu39,
198515239,58827.618239,,,19.15,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792516,mrchu39,
198515240,58828.625063,,,18.96,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792531,mrchu39,
198515241,58828.630598,,,19.05,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792546,mrchu39,
198515242,58828.635304,,,19.07,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792563,mrchu39,
198515243,58828.648515,,,19.01,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792578,mrchu39,
198515244,58829.540769,,,18.62,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792594,mrchu39,
198515245,58829.54413,,,18.65,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792612,mrchu39,
198515246,58829.55167,,,18.63,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792630,mrchu39,
198515247,58829.563914,,,18.79,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792645,mrchu39,
198515248,58833.583659,,,19.09,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792660,mrchu39,
198515249,58833.584585,,,19.07,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792681,mrchu39,
198515250,58833.586967,,,19.08,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792706,mrchu39,
198515251,58833.587895,,,19.07,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792724,mrchu39,
198515252,58833.595838,,,19.15,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792742,mrchu39,
198515253,58833.59678,,,19.17,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792761,mrchu39,
198515254,58833.610019,,,19.18,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792781,mrchu39,
198515255,58833.610481,,,19.17,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792805,mrchu39,
198515256,58837.554302,,,19.3,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792822,mrchu39,
198515257,58837.557632,,,19.29,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792838,mrchu39,
198515258,58837.558093,,,19.31,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792854,mrchu39,
198515259,58837.561377,,,18.97,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792870,mrchu39,
198515260,58837.563703,,,19.38,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792887,mrchu39,
198515261,58837.568043,,,19.31,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792904,mrchu39,
198515262,58837.573931,,,18.75,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792922,mrchu39,
198515263,58837.579351,,,18.99,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792938,mrchu39,
198515264,58844.620198,,,19.66,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.792980,mrchu39,
198515265,58844.623509,,,19.67,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.793021,mrchu39,
198515266,58844.631884,,,19.75,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.793037,mrchu39,
198515267,58844.64643,,,19.73,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.793053,mrchu39,
198515268,58849.557102,,,19.59,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.793073,mrchu39,
198515269,58849.578532,,,19.57,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.793088,mrchu39,
198515270,58849.584373,,,19.58,atlaso,ATLAS,72,,ab,None,,178.35929,10.8965,,,2022-04-04T03:45:27.793103,mrchu39,
