dateobs,mjd,filter,mag,dmag,limmag
2020-12-15,59198.3517107,ip,16.8981522,0.024,21.1119485451
2020-12-15,59198.3534024,ip,16.9114826,0.027,21.0124131959
2020-12-21,59204.3480155,ip,17.0163872,0.022,21.3334400354
2020-12-21,59204.3497134,ip,16.9676462,0.022,21.2719788743
2020-12-27,59210.327949,ip,17.110793,0.019,21.5016581517
2020-12-27,59210.3296414,ip,17.0200708,0.018,21.4551008991
2020-12-31,59214.3134666,ip,17.0541768,0.038,20.8126022228
2020-12-31,59214.3151517,ip,17.0244742,0.037,20.8081847048
2021-01-15,59229.0322495,ip,17.192949,0.037,20.9773862946
2021-01-15,59229.0339381,ip,17.221554,0.037,21.0773181344
2021-01-26,59240.1117197,ip,17.232585,0.032,21.2204973255
2021-01-26,59240.1134241,ip,17.069458,0.03,21.114240952
2021-02-07,59252.2983671,ip,17.2673628,0.019,21.6177468899
2021-02-07,59252.3000595,ip,17.289384,0.02,21.6105009668
2021-02-19,59264.3546722,ip,17.424434,0.026,21.4612921343
2021-02-19,59264.3563647,ip,17.3702336,0.024,21.5368982349
2021-03-04,59277.184256,ip,17.537787,0.034,21.3183668828
2021-03-18,59291.1608954,ip,17.5331446,0.03199309191,21.5052676493
2021-04-09,59313.1109036,ip,17.6148122,0.031,21.4775759332
2021-04-09,59313.1126013,ip,17.6098774,0.03,21.4929057281
2021-05-08,59342.842254,ip,17.7395045,0.053,21.1294848767
2021-05-27,59361.1339645,ip,17.8813328,0.108,102.959520255
2021-06-06,59371.0530723,ip,17.908436,0.048,21.3235693183
2021-06-06,59371.0547802,ip,17.9772682,0.048,21.3315937166
2021-06-14,59379.0739029,ip,18.1560214,0.059,102.959520255
2021-06-14,59379.0756056,ip,17.9656404,0.051,21.3298691066
2021-06-27,59392.0510633,ip,17.9568406,0.077,20.9292751687
2021-11-21,59539.2437574,ip,18.8456792,0.114,21.3259415401
2021-11-21,59539.2475481,ip,18.5538976,0.086,21.2896594997
2021-12-02,59550.4346379,ip,18.605499,0.074,21.5276230975
2021-12-13,59561.1612613,ip,18.9974732,0.083,21.6456294347
2021-12-13,59561.1650401,ip,18.9153036,0.081,21.6083698821
2022-01-04,59583.0596307,ip,19.1510975,0.143,21.3478940369
2022-01-04,59583.0634212,ip,19.2404825,0.15,21.4090170107
2022-01-15,59594.7364697,ip,19.4778512,0.095,21.9205533936
2022-01-19,59598.091922,ip,19.133034,0.207,21.0617776313
2022-02-10,59620.1151516,ip,19.3396665,0.152,21.4709844233
2022-02-10,59620.1189306,ip,18.939683,0.11,21.4637475401
2022-04-21,59690.9298471,ip,19.485506,0.267,21.1188495676
2022-05-03,59702.0070927,ip,19.6346972,0.169,21.5847023972
2022-05-03,59702.0097123,ip,19.8583076,0.21,21.5696285925
2022-05-25,59724.0725186,ip,19.7365768,0.181,21.5802940203
2022-05-25,59724.0751382,ip,19.838382,0.209,21.6112731637
2020-12-10,59193.5149786,rp,16.664377,0.0110912476867,21.6858550468
2020-12-15,59198.3481621,rp,16.6635535,0.0150670426842,21.544261989
2020-12-21,59204.3444671,rp,16.7043184,0.0101002858993,21.8940226818
2020-12-21,59204.3461533,rp,16.710564,0.0101002858993,21.8817015029
2020-12-27,59210.3244017,rp,16.7214618,0.0110912476867,21.894265092
2020-12-27,59210.326094,rp,16.7308019,0.0101002858993,21.9086731859
